"id","code","name","user_type_id/id","reconcile","chart_template_id/id","tag_ids/id"
"chart800","800","Kapitał zakładowy","account.data_account_type_equity","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart81001","810-01","Kapitał zapasowy","account.data_account_type_equity","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart820","820","Rozliczenie wyniku finansowego","account.data_unaffected_earnings","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart840","840","Rozliczenie międzyokresowe przychodów","account.data_account_type_prepayments","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart83001","830-01","Rezerwa na podatek dochodowy","account.data_account_type_current_liabilities","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart83002","830-02","Pozostałe rezerwy","account.data_account_type_non_current_liabilities","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart850","850","ZFŚS","account.data_account_type_non_current_liabilities","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart860","860","Wynik finansowy","account.data_account_type_current_liabilities","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart87001","870-01","Obowiązkowe odpisy wyniku finansowego Podatek dochodowy","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart87003","870-03","Obowiązkowe odpisy wyniku finansowego Podatek odroczony","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""

